id;start_date;end_date;language
1;2022-06-28T11:58:03;2022-06-28T09:48:18;ENGLISH
2;2022-06-27T21:25:38;2022-06-28T06:51:07;FRENCH
3;2022-06-28T07:21:50;2022-06-27T19:26:58;SPANISH
4;2022-06-28T11:52:39;2022-06-27T17:18:58;FRENCH
5;2022-06-28T14:09:02;2022-06-27T22:28:00;ENGLISH
6;2022-06-27T23:39:45;2022-06-28T13:40:05;SPANISH
7;2022-06-28T07:43:33;2022-06-27T18:17:42;FRENCH
8;2022-06-27T22:09:26;2022-06-27T18:45:15;FRENCH
9;2022-06-27T23:01:04;2022-06-28T10:32:30;FRENCH
10;2022-06-27T18:58:02;2022-06-28T11:55:31;FRENCH
